Up,"2015-11-25 08:23:18",OK,"0 hrs, 13 mins"
Down,"2015-11-25 08:09:58","Service Unavailable","0 hrs, 13 mins"
Up,"2015-11-25 07:22:29",OK,"0 hrs, 47 mins"
Down,"2015-11-25 07:13:02","Connection Timeout","0 hrs, 9 mins"
Up,"2015-11-25 05:44:45",OK,"1 hrs, 28 mins"
Down,"2015-11-25 05:36:19","Connection Timeout","0 hrs, 8 mins"
Up,"2015-11-25 05:31:33",OK,"0 hrs, 4 mins"
Down,"2015-11-25 05:30:19","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-25 05:24:51",OK,"0 hrs, 5 mins"
Down,"2015-11-25 04:55:43","Connection Timeout","0 hrs, 29 mins"
Up,"2015-11-25 04:50:41",OK,"0 hrs, 5 mins"
Down,"2015-11-25 02:35:06","Connection Timeout","2 hrs, 15 mins"
Up,"2015-11-25 02:29:45",OK,"0 hrs, 5 mins"
Down,"2015-11-25 02:29:06","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-25 02:24:00",OK,"0 hrs, 5 mins"
Down,"2015-11-25 02:23:06","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-25 02:17:53",OK,"0 hrs, 5 mins"
Down,"2015-11-25 01:33:01","Service Unavailable","0 hrs, 44 mins"
Up,"2015-11-25 01:16:50",OK,"0 hrs, 16 mins"
Down,"2015-11-25 00:48:51","Connection Timeout","0 hrs, 27 mins"
Up,"2015-11-24 23:40:03",OK,"1 hrs, 8 mins"
Down,"2015-11-24 21:46:51","Connection Timeout","1 hrs, 53 mins"
Up,"2015-11-24 21:42:10",OK,"0 hrs, 4 mins"
Down,"2015-11-24 21:40:51","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 21:35:49",OK,"0 hrs, 5 mins"
Down,"2015-11-24 20:42:31","Connection Timeout","0 hrs, 53 mins"
Up,"2015-11-24 20:38:03",OK,"0 hrs, 4 mins"
Down,"2015-11-24 20:36:01","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-24 19:38:02",OK,"0 hrs, 57 mins"
Down,"2015-11-24 19:19:31","Service Unavailable","0 hrs, 18 mins"
Up,"2015-11-24 18:28:21",OK,"0 hrs, 51 mins"
Down,"2015-11-24 18:27:26","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-24 18:22:06",OK,"0 hrs, 5 mins"
Down,"2015-11-24 16:28:20","Connection Timeout","1 hrs, 53 mins"
Up,"2015-11-24 16:09:55",OK,"0 hrs, 18 mins"
Down,"2015-11-24 10:47:19","Connection Timeout","5 hrs, 22 mins"
Up,"2015-11-24 10:42:41",OK,"0 hrs, 4 mins"
Down,"2015-11-24 10:41:19","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 10:36:12",OK,"0 hrs, 5 mins"
Down,"2015-11-24 10:20:59","Connection Timeout","0 hrs, 15 mins"
Up,"2015-11-24 10:16:40",OK,"0 hrs, 4 mins"
Down,"2015-11-24 10:14:59","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 10:09:51",OK,"0 hrs, 5 mins"
Down,"2015-11-24 09:59:09","Connection Timeout","0 hrs, 10 mins"
Up,"2015-11-24 09:40:56",OK,"0 hrs, 18 mins"
Down,"2015-11-24 09:39:46","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 09:35:14",OK,"0 hrs, 4 mins"
Down,"2015-11-24 09:33:16","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 08:50:22",OK,"0 hrs, 42 mins"
Down,"2015-11-24 08:48:54","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 08:43:58",OK,"0 hrs, 4 mins"
Down,"2015-11-24 08:42:54","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-24 08:37:43",OK,"0 hrs, 5 mins"
Down,"2015-11-24 08:34:34","Connection Timeout","0 hrs, 3 mins"
Up,"2015-11-24 08:29:26",OK,"0 hrs, 5 mins"
Down,"2015-11-24 07:49:28","Connection Timeout","0 hrs, 39 mins"
Up,"2015-11-24 05:59:18",OK,"1 hrs, 50 mins"
Down,"2015-11-24 05:50:25","Service Unavailable","0 hrs, 8 mins"
Up,"2015-11-24 04:35:24",OK,"1 hrs, 15 mins"
Down,"2015-11-24 04:17:45","Service Unavailable","0 hrs, 17 mins"
Up,"2015-11-24 03:29:38",OK,"0 hrs, 48 mins"
Down,"2015-11-24 03:29:05","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-24 03:23:50",OK,"0 hrs, 5 mins"
Down,"2015-11-24 02:19:14","Service Unavailable","1 hrs, 4 mins"
Up,"2015-11-24 01:06:20",OK,"1 hrs, 12 mins"
Down,"2015-11-24 00:38:30","Connection Timeout","0 hrs, 27 mins"
Up,"2015-11-23 23:55:01",OK,"0 hrs, 43 mins"
Down,"2015-11-23 19:11:59","Service Unavailable","4 hrs, 43 mins"
Up,"2015-11-23 18:40:52",OK,"0 hrs, 31 mins"
Down,"2015-11-23 18:29:19","Connection Timeout","0 hrs, 11 mins"
Up,"2015-11-23 18:24:14",OK,"0 hrs, 5 mins"
Down,"2015-11-23 18:14:14","Service Unavailable","0 hrs, 10 mins"
Up,"2015-11-23 17:56:32",OK,"0 hrs, 17 mins"
Down,"2015-11-23 12:02:42","Service Unavailable","5 hrs, 53 mins"
Up,"2015-11-23 11:16:49",OK,"0 hrs, 45 mins"
Down,"2015-11-23 11:15:06","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-23 10:46:58",OK,"0 hrs, 28 mins"
Down,"2015-11-23 10:45:44","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-23 10:41:13",OK,"0 hrs, 4 mins"
Down,"2015-11-23 10:39:43","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-23 10:34:29",OK,"0 hrs, 5 mins"
Down,"2015-11-23 10:15:08","Connection Timeout","0 hrs, 19 mins"
Up,"2015-11-23 10:10:05",OK,"0 hrs, 5 mins"
Down,"2015-11-23 09:38:03","Service Unavailable","0 hrs, 32 mins"
Up,"2015-11-23 07:46:33",OK,"1 hrs, 51 mins"
Down,"2015-11-23 07:43:30","Connection Timeout","0 hrs, 3 mins"
Up,"2015-11-23 02:39:17",OK,"5 hrs, 4 mins"
Down,"2015-11-23 02:38:29","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-23 02:33:09",OK,"0 hrs, 5 mins"
Down,"2015-11-23 02:07:39","Service Unavailable","0 hrs, 25 mins"
Up,"2015-11-22 22:51:13",OK,"3 hrs, 16 mins"
Down,"2015-11-22 22:40:08","Service Unavailable","0 hrs, 11 mins"
Up,"2015-11-22 16:30:26",OK,"6 hrs, 9 mins"
Down,"2015-11-22 16:21:37","Service Unavailable","0 hrs, 8 mins"
Up,"2015-11-22 12:30:34",OK,"3 hrs, 51 mins"
Down,"2015-11-22 12:27:44","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-22 10:13:33",OK,"2 hrs, 14 mins"
Down,"2015-11-22 10:10:29","Service Unavailable","0 hrs, 3 mins"
Up,"2015-11-22 06:44:48",OK,"3 hrs, 25 mins"
Down,"2015-11-22 06:20:27","Connection Timeout","0 hrs, 24 mins"
Up,"2015-11-22 06:02:21",OK,"0 hrs, 18 mins"
Down,"2015-11-22 05:36:46","Service Unavailable","0 hrs, 25 mins"
Up,"2015-11-22 04:40:08",OK,"0 hrs, 56 mins"
Down,"2015-11-22 04:17:11","Service Unavailable","0 hrs, 22 mins"
Up,"2015-11-22 03:28:18",OK,"0 hrs, 48 mins"
Down,"2015-11-22 03:19:38","Service Unavailable","0 hrs, 8 mins"
Up,"2015-11-22 03:08:19",OK,"0 hrs, 11 mins"
Down,"2015-11-22 03:07:32","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-22 03:02:25",OK,"0 hrs, 5 mins"
Down,"2015-11-22 02:37:27","Service Unavailable","0 hrs, 24 mins"
Up,"2015-11-22 02:06:05",OK,"0 hrs, 31 mins"
Down,"2015-11-22 01:46:17","Connection Timeout","0 hrs, 19 mins"
Up,"2015-11-22 01:02:52",OK,"0 hrs, 43 mins"
Down,"2015-11-21 22:13:03","Service Unavailable","2 hrs, 49 mins"
Up,"2015-11-21 19:35:49",OK,"2 hrs, 37 mins"
Down,"2015-11-21 19:33:28","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-21 17:33:51",OK,"1 hrs, 59 mins"
Down,"2015-11-21 17:27:20","Service Unavailable","0 hrs, 6 mins"
Up,"2015-11-21 11:53:19",OK,"5 hrs, 34 mins"
Down,"2015-11-21 11:52:22","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-21 11:47:08",OK,"0 hrs, 5 mins"
Down,"2015-11-21 11:43:32","Service Unavailable","0 hrs, 3 mins"
Up,"2015-11-21 10:57:47",OK,"0 hrs, 45 mins"
Down,"2015-11-21 10:55:56","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-21 09:32:04",OK,"1 hrs, 23 mins"
Down,"2015-11-21 09:29:37","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-21 07:04:26",OK,"2 hrs, 25 mins"
Down,"2015-11-21 07:03:03","Service Unavailable","0 hrs, 1 mins"
Up,"2015-11-21 02:13:48",OK,"4 hrs, 49 mins"
Down,"2015-11-21 01:27:45","Service Unavailable","0 hrs, 46 mins"
Up,"2015-11-21 00:57:46",OK,"0 hrs, 29 mins"
Down,"2015-11-21 00:03:02","Service Unavailable","0 hrs, 54 mins"
Up,"2015-11-20 23:58:24",OK,"0 hrs, 4 mins"
Down,"2015-11-20 23:56:12","Connection Timeout","0 hrs, 2 mins"
Up,"2015-11-20 23:50:59",OK,"0 hrs, 5 mins"
Down,"2015-11-20 23:47:07","Connection Timeout","0 hrs, 3 mins"
